Hotel_Name,Hotel_Address,Country,Website_Address,Star_Rating,Customer_Review,Visited_Location
St Ives Harbour Hotel & Spa,"The Terrace, St Ives, TR26 2BN, United Kingdom ",UK,https://www.harbourhotels.co.uk/st-ives,4,8.3,St Ives
The Alverton,"Tregolls Road, Truro, TR1 1ZQ,",UK,https://thealverton.co.uk/,4.5,8.7,Truro
Hotel California Newquay,"32 Pentire Crescent, Newquay, TR7 1PU",UK,http://www.hotel-california.co.uk/,3.7,7.4,Newquay
Legacy Hotel Victoria,"East St, Newquay, TR7 1DB,",UK,https://www.legacy-hotels.co.uk/,3,7.8,Newquay
Camelot Castle Hotel," Camelot Castle, Tintagel, PL34 0DQ",UK,http://www.camelotcastle.com/,3,7.2,Newquay
Greenbank Hotel,"Harbour Side, Falmouth, TR11 ",UK,https://www.greenbank-hotel.co.uk/,4,8.8,Falmouth
The Landsend Hotel,"Land's End, Sennen, TR19 7AA",UK,https://www.landsendhotel.co.uk/,3,8.5,Landswend
Legacy Hotel Victoria,"East St, Newquay, TR7 1DB",UK,https://www.legacy-hotels.co.uk/hotels/hotel-victoria-newquay-cornwall,3,7.8,Newquay
The falmouth Hotel,"Castle Beach, Falmouth, TR11 4NZ",UK,https://falmouthhotel.co.uk/,3,7.9,Falmouth
Penventon Park Hotel,"Redruth, Redruth, TR15 3AD,",UK,https://www.penventon.co.uk/,4,8.4,Redruth
The Jamaica Inn,"Bolventor, Bolventor, PL15 7TS,",UK,https://www.jamaicainn.co.uk/,4,9.1,Bodmin Moor
The Western,"Gabriel Street, St Ives, TR26 2LU",UK,https://www.staustellbrewery.co.uk/pub/st-ives/western-hotel,3,8.1,St Ives
Trethorne Hotel & Golf Club,"Kennards House, Launceston, PL15 8QE",UK,https://trethorne-hotel-and-golf-club-launceston.booked.net/,2,8.4,Launceston
Atlantic Hotel Newquay ,"Dane Road, Newquay, TR7 1EN,",UK,https://atlantichotelnewquay.co.uk/,4,8.3,Newquay
Carbis bay hotel,"Carbis Bay Estate, Carbis Bay, St Ives, Cornwall, TR26 2NP",UK,https://www.carbisbayhotel.co.uk/,4,9,St Ives

